종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
368190,2,HANARO Fn K-뉴딜디지털플러스,8375,5,-45,-0.53,8372.0,-11.5454,2921,24,427,국내 업종/테마,HANARO,False,False,False
252420,3,KBSTAR 200선물인버스2X,3365,2,55,1.66,3365.0,32.9317,751213,2497,421,국내 파생,KBSTAR,True,False,False
225800,7,KOSEF 미국달러선물레버리지,11505,2,75,0.66,11518.0,13.1123,7379,84,419,기타,KOSEF,False,True,False
418660,4,TIGER 미국나스닥100레버리지(합성),7755,2,205,2.72,7786.0,-30.7658,1765744,13660,415,해외 주식,TIGER,False,True,False
137610,5,TIGER 농산물선물Enhanced(H),8095,5,-250,-3.0,8225.0,-0.6548,137285,1121,413,원자재,TIGER,False,False,True
233160,3,TIGER 코스닥150 레버리지,8110,5,-620,-7.1,8089.0,-32.1679,492344,4160,410,국내 파생,TIGER,False,True,False
361580,1,KBSTAR 200TR,16080,5,-110,-0.68,16050.0,-14.384,24238,391,402,국내 시장지수,KBSTAR,False,False,False
385720,1,TIMEFOLIO Kstock액티브,7835,5,-145,-1.82,7811.0,-16.9183,40472,317,400,국내 시장지수,TIMEFOLIO,False,False,False
117680,2,KODEX 철강,7220,5,-275,-3.67,7238.0,-15.6634,331415,2420,394,국내 업종/테마,KODEX,False,False,False
241180,4,TIGER 일본니케이225,14820,2,95,0.65,14878.0,-9.1891,783,11,391,해외 주식,TIGER,False,False,False
411060,5,KINDEX KRX금현물,11075,2,65,0.59,11050.0,0.1819,35529,393,388,원자재,KINDEX,False,False,False
356540,6,KINDEX 종합채권(AA-이상)KIS액티브,91685,2,245,0.27,91647.0,-4.6656,2,0,386,채권,KINDEX,False,False,False
203780,4,TIGER 미국나스닥바이오,17475,2,540,3.19,17482.0,-8.286,8774,152,384,해외 주식,TIGER,False,False,False
130680,5,TIGER 원유선물Enhanced(H),5430,5,-20,-0.37,5435.0,-1.6246,452745,2421,380,원자재,TIGER,False,False,True
123320,3,TIGER 레버리지,13565,5,-190,-1.38,13515.0,-27.6434,186927,2564,380,국내 파생,TIGER,False,True,False
138230,7,KOSEF 미국달러선물,13645,2,45,0.33,13658.0,6.5413,7519,102,379,기타,KOSEF,False,False,False
102970,2,KODEX 증권,5830,5,-75,-1.27,5830.0,-19.5505,96656,568,373,국내 업종/테마,KODEX,False,False,False
359210,1,KODEX 코스피TR,10945,5,-125,-1.13,10930.0,-13.0401,1190,13,372,국내 시장지수,KODEX,False,False,False
300640,2,KBSTAR 게임테마,11050,5,-495,-4.29,11048.0,-31.1035,73665,831,365,국내 업종/테마,KBSTAR,False,False,False
407830,4,에셋플러스 글로벌플랫폼액티브,5695,2,65,1.15,5741.0,-26.0184,21415,121,364,해외 주식,에셋플러스,False,False,False
114460,6,KINDEX 국고채3년,101160,2,220,0.22,101157.0,-2.7,22,2,364,채권,KINDEX,False,False,False
394350,4,KOSEF 릭소글로벌퓨처모빌리티MSCI,9535,5,-65,-0.68,9696.0,-9.0048,3914,37,362,해외 주식,KOSEF,False,False,False
244580,2,KODEX 바이오,7830,5,-300,-3.69,7936.0,-20.9913,78164,623,357,국내 업종/테마,KODEX,False,False,False
292190,1,KODEX KRX300,14100,5,-125,-0.88,14103.0,-15.1203,8478,120,353,국내 시장지수,KODEX,False,False,False
114470,6,KOSEF 국고채3년,106560,2,55,0.05,106533.0,-2.5314,712,75,352,채권,KOSEF,False,False,False
